#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      2.00e+00      7.89e-04      6.32e-02    1.0e-03
   1000      1.93e+00      9.24e-03      6.11e-02    1.0e-03
   2000      1.95e+00      1.51e-02      6.18e-02    1.0e-03
   3000      2.23e+00      1.88e-02      7.04e-02    1.0e-03
   4000      2.10e+00      4.89e-03      6.63e-02    1.0e-03
   5000      2.40e+00      2.37e-03      7.62e-02    9.9e-04
   6000      1.72e+00      1.49e-02      5.47e-02    9.9e-04
   7000      1.52e+00      7.28e-04      4.82e-02    9.9e-04
   8000      2.06e+00      2.27e-03      6.54e-02    9.9e-04
   9000      1.91e+00      3.82e-02      6.06e-02    9.9e-04
  10000      1.78e+00      4.74e-03      5.70e-02    9.8e-04
  11000      1.89e+00      2.37e-02      6.04e-02    9.8e-04
  12000      2.35e+00      8.19e-03      7.50e-02    9.8e-04
  13000      1.80e+00      1.57e-04      5.75e-02    9.8e-04
  14000      1.99e+00      3.37e-02      6.34e-02    9.8e-04
  15000      2.15e+00      4.82e-03      6.89e-02    9.7e-04
  16000      2.15e+00      1.21e-02      6.90e-02    9.7e-04
  17000      2.04e+00      6.48e-03      6.56e-02    9.7e-04
  18000      1.74e+00      4.13e-03      5.58e-02    9.7e-04
  19000      1.81e+00      1.29e-02      5.82e-02    9.7e-04
  20000      2.06e+00      3.31e-03      6.64e-02    9.6e-04
  21000      1.93e+00      9.08e-03      6.24e-02    9.6e-04
  22000      2.13e+00      1.26e-02      6.86e-02    9.6e-04
  23000      2.69e+00      1.78e-02      8.67e-02    9.6e-04
  24000      1.77e+00      3.84e-03      5.71e-02    9.6e-04
  25000      2.15e+00      1.10e-03      6.96e-02    9.5e-04
  26000      2.43e+00      9.21e-03      7.90e-02    9.5e-04
  27000      1.99e+00      1.25e-02      6.47e-02    9.5e-04
  28000      1.63e+00      6.76e-04      5.28e-02    9.5e-04
  29000      1.61e+00      7.64e-03      5.23e-02    9.5e-04
  30000      1.96e+00      1.46e-02      6.39e-02    9.4e-04
  31000      2.24e+00      3.73e-02      7.28e-02    9.4e-04
  32000      1.49e+00      1.39e-03      4.87e-02    9.4e-04
  33000      2.16e+00      4.84e-03      7.03e-02    9.4e-04
  34000      2.00e+00      7.08e-03      6.52e-02    9.4e-04
  35000      1.53e+00      6.75e-03      5.00e-02    9.3e-04
  36000      1.87e+00      1.37e-02      6.11e-02    9.3e-04
  37000      2.14e+00      2.00e-02      6.99e-02    9.3e-04
  38000      2.53e+00      3.91e-02      8.27e-02    9.3e-04
  39000      1.72e+00      1.74e-02      5.64e-02    9.3e-04
  40000      1.92e+00      8.62e-04      6.32e-02    9.2e-04
  41000      1.76e+00      2.21e-03      5.81e-02    9.2e-04
  42000      3.86e+00      1.57e-02      1.27e-01    9.2e-04
  43000      1.84e+00      3.21e-03      6.07e-02    9.2e-04
  44000      2.26e+00      6.08e-03      7.46e-02    9.2e-04
  45000      1.90e+00      1.42e-02      6.29e-02    9.1e-04
  46000      1.26e+00      5.20e-02      4.12e-02    9.1e-04
  47000      1.82e+00      6.64e-04      6.02e-02    9.1e-04
  48000      1.87e+00      8.78e-03      6.20e-02    9.1e-04
  49000      1.81e+00      1.48e-03      5.99e-02    9.1e-04
  50000      2.00e+00      1.22e-02      6.64e-02    9.0e-04
  51000      2.04e+00      2.38e-02      6.78e-02    9.0e-04
