#  step      rmse_trn   rmse_lc_trn         lr
      0      9.88e-01      9.88e-01    1.0e-02
   1000      3.46e-03      3.46e-03    1.0e-02
   2000      1.55e-02      1.55e-02    1.0e-02
   3000      2.56e-02      2.56e-02    1.0e-02
   4000      3.49e-03      3.49e-03    1.0e-02
   5000      1.92e-02      1.92e-02    9.7e-03
   6000      1.53e-02      1.53e-02    9.7e-03
   7000      7.36e-02      7.36e-02    9.7e-03
   8000      1.11e-02      1.11e-02    9.7e-03
   9000      1.59e-02      1.59e-02    9.7e-03
  10000      2.57e-03      2.57e-03    9.5e-03
  11000      1.60e-02      1.60e-02    9.5e-03
  12000      2.00e-02      2.00e-02    9.5e-03
  13000      4.95e-03      4.95e-03    9.5e-03
  14000      2.53e-03      2.53e-03    9.5e-03
  15000      1.25e-01      1.25e-01    9.3e-03
  16000      4.47e-03      4.47e-03    9.3e-03
  17000      6.21e-03      6.21e-03    9.3e-03
  18000      2.39e-02      2.39e-02    9.3e-03
  19000      5.06e-03      5.06e-03    9.3e-03
  20000      3.25e-03      3.25e-03    9.0e-03
  21000      5.36e-03      5.36e-03    9.0e-03
  22000      1.89e-02      1.89e-02    9.0e-03
  23000      1.28e-02      1.28e-02    9.0e-03
  24000      3.06e-03      3.06e-03    9.0e-03
  25000      4.57e-02      4.57e-02    8.8e-03
  26000      2.93e-03      2.93e-03    8.8e-03
  27000      9.79e-03      9.79e-03    8.8e-03
  28000      1.76e-02      1.76e-02    8.8e-03
  29000      7.93e-03      7.93e-03    8.8e-03
  30000      7.88e-03      7.88e-03    8.6e-03
  31000      2.10e-02      2.10e-02    8.6e-03
  32000      5.22e-03      5.22e-03    8.6e-03
  33000      6.78e-03      6.78e-03    8.6e-03
  34000      3.06e-03      3.06e-03    8.6e-03
  35000      1.47e-02      1.47e-02    8.4e-03
  36000      8.67e-03      8.67e-03    8.4e-03
  37000      2.65e-02      2.65e-02    8.4e-03
  38000      3.63e-03      3.63e-03    8.4e-03
  39000      2.00e-02      2.00e-02    8.4e-03
  40000      2.85e-03      2.85e-03    8.1e-03
  41000      1.84e-02      1.84e-02    8.1e-03
  42000      4.96e-03      4.96e-03    8.1e-03
  43000      1.98e-02      1.98e-02    8.1e-03
  44000      1.41e-02      1.41e-02    8.1e-03
  45000      7.46e-02      7.46e-02    7.9e-03
  46000      2.33e-03      2.33e-03    7.9e-03
  47000      1.42e-02      1.42e-02    7.9e-03
  48000      2.66e-03      2.66e-03    7.9e-03
  49000      4.46e-03      4.46e-03    7.9e-03
  50000      1.03e-02      1.03e-02    7.7e-03
  51000      9.99e-03      9.99e-03    7.7e-03
  52000      1.24e-02      1.24e-02    7.7e-03
  53000      1.04e-02      1.04e-02    7.7e-03
  54000      3.72e-03      3.72e-03    7.7e-03
  55000      1.97e-02      1.97e-02    7.5e-03
  56000      1.13e-02      1.13e-02    7.5e-03
  57000      2.21e-03      2.21e-03    7.5e-03
  58000      3.38e-03      3.38e-03    7.5e-03
  59000      8.68e-03      8.68e-03    7.5e-03
  60000      1.84e-02      1.84e-02    7.4e-03
  61000      4.66e-03      4.66e-03    7.4e-03
  62000      1.17e-02      1.17e-02    7.4e-03
  63000      2.78e-03      2.78e-03    7.4e-03
  64000      1.43e-02      1.43e-02    7.4e-03
  65000      1.53e-02      1.53e-02    7.2e-03
  66000      1.17e-02      1.17e-02    7.2e-03
  67000      1.21e-02      1.21e-02    7.2e-03
  68000      4.30e-03      4.30e-03    7.2e-03
  69000      2.18e-03      2.18e-03    7.2e-03
  70000      1.42e-02      1.42e-02    7.0e-03
  71000      9.38e-03      9.38e-03    7.0e-03
  72000      1.08e-02      1.08e-02    7.0e-03
  73000      1.43e-02      1.43e-02    7.0e-03
  74000      9.71e-03      9.71e-03    7.0e-03
  75000      2.72e-03      2.72e-03    6.8e-03
  76000      3.08e-03      3.08e-03    6.8e-03
  77000      6.60e-03      6.60e-03    6.8e-03
  78000      2.42e-03      2.42e-03    6.8e-03
  79000      7.74e-03      7.74e-03    6.8e-03
  80000      3.29e-03      3.29e-03    6.6e-03
  81000      1.50e-02      1.50e-02    6.6e-03
  82000      2.56e-03      2.56e-03    6.6e-03
  83000      3.21e-03      3.21e-03    6.6e-03
  84000      1.29e-02      1.29e-02    6.6e-03
  85000      1.13e-02      1.13e-02    6.5e-03
  86000      1.54e-02      1.54e-02    6.5e-03
  87000      3.81e-03      3.81e-03    6.5e-03
  88000      1.88e-03      1.88e-03    6.5e-03
  89000      3.51e-03      3.51e-03    6.5e-03
  90000      2.23e-03      2.23e-03    6.3e-03
  91000      1.85e-03      1.85e-03    6.3e-03
  92000      1.32e-02      1.32e-02    6.3e-03
  93000      2.01e-03      2.01e-03    6.3e-03
  94000      2.52e-03      2.52e-03    6.3e-03
  95000      2.07e-02      2.07e-02    6.1e-03
  96000      3.45e-03      3.45e-03    6.1e-03
  97000      2.77e-03      2.77e-03    6.1e-03
  98000      8.11e-03      8.11e-03    6.1e-03
  99000      3.49e-03      3.49e-03    6.1e-03
 100000      8.97e-03      8.97e-03    6.0e-03
 101000      2.05e-03      2.05e-03    6.0e-03
 102000      2.95e-03      2.95e-03    6.0e-03
 103000      2.09e-03      2.09e-03    6.0e-03
 104000      1.65e-02      1.65e-02    6.0e-03
 105000      2.35e-03      2.35e-03    5.8e-03
 106000      1.11e-02      1.11e-02    5.8e-03
 107000      2.25e-03      2.25e-03    5.8e-03
 108000      1.89e-02      1.89e-02    5.8e-03
 109000      2.55e-03      2.55e-03    5.8e-03
 110000      2.52e-03      2.52e-03    5.7e-03
 111000      1.01e-02      1.01e-02    5.7e-03
 112000      3.93e-03      3.93e-03    5.7e-03
 113000      8.53e-03      8.53e-03    5.7e-03
 114000      2.36e-03      2.36e-03    5.7e-03
 115000      2.57e-03      2.57e-03    5.5e-03
 116000      2.44e-03      2.44e-03    5.5e-03
 117000      3.14e-03      3.14e-03    5.5e-03
 118000      8.38e-03      8.38e-03    5.5e-03
 119000      7.64e-03      7.64e-03    5.5e-03
 120000      2.04e-03      2.04e-03    5.4e-03
 121000      1.91e-03      1.91e-03    5.4e-03
 122000      2.16e-03      2.16e-03    5.4e-03
 123000      2.50e-03      2.50e-03    5.4e-03
 124000      1.76e-03      1.76e-03    5.4e-03
 125000      2.34e-03      2.34e-03    5.3e-03
 126000      7.70e-03      7.70e-03    5.3e-03
 127000      2.41e-03      2.41e-03    5.3e-03
 128000      1.66e-03      1.66e-03    5.3e-03
 129000      1.85e-03      1.85e-03    5.3e-03
 130000      3.42e-03      3.42e-03    5.1e-03
 131000      6.83e-03      6.83e-03    5.1e-03
 132000      7.00e-03      7.00e-03    5.1e-03
 133000      1.76e-03      1.76e-03    5.1e-03
 134000      1.90e-03      1.90e-03    5.1e-03
 135000      9.79e-03      9.79e-03    5.0e-03
 136000      8.91e-03      8.91e-03    5.0e-03
 137000      1.93e-03      1.93e-03    5.0e-03
 138000      2.01e-03      2.01e-03    5.0e-03
 139000      2.54e-03      2.54e-03    5.0e-03
 140000      2.02e-03      2.02e-03    4.9e-03
 141000      5.71e-03      5.71e-03    4.9e-03
 142000      6.20e-03      6.20e-03    4.9e-03
 143000      2.08e-03      2.08e-03    4.9e-03
 144000      2.58e-03      2.58e-03    4.9e-03
 145000      2.29e-03      2.29e-03    4.8e-03
 146000      1.86e-03      1.86e-03    4.8e-03
 147000      1.10e-02      1.10e-02    4.8e-03
 148000      1.22e-02      1.22e-02    4.8e-03
 149000      1.32e-02      1.32e-02    4.8e-03
 150000      2.76e-03      2.76e-03    4.6e-03
 151000      6.42e-03      6.42e-03    4.6e-03
 152000      9.75e-03      9.75e-03    4.6e-03
 153000      1.77e-03      1.77e-03    4.6e-03
 154000      6.84e-03      6.84e-03    4.6e-03
 155000      1.93e-03      1.93e-03    4.5e-03
 156000      5.21e-03      5.21e-03    4.5e-03
 157000      1.42e-02      1.42e-02    4.5e-03
 158000      3.26e-03      3.26e-03    4.5e-03
 159000      2.29e-03      2.29e-03    4.5e-03
 160000      2.27e-03      2.27e-03    4.4e-03
 161000      2.90e-03      2.90e-03    4.4e-03
 162000      2.82e-02      2.82e-02    4.4e-03
 163000      1.93e-03      1.93e-03    4.4e-03
 164000      6.61e-03      6.61e-03    4.4e-03
 165000      9.88e-03      9.88e-03    4.3e-03
 166000      1.94e-03      1.94e-03    4.3e-03
 167000      8.90e-03      8.90e-03    4.3e-03
 168000      1.50e-02      1.50e-02    4.3e-03
 169000      5.89e-03      5.89e-03    4.3e-03
 170000      2.01e-03      2.01e-03    4.2e-03
 171000      1.53e-03      1.53e-03    4.2e-03
 172000      6.28e-03      6.28e-03    4.2e-03
 173000      6.79e-03      6.79e-03    4.2e-03
 174000      1.50e-02      1.50e-02    4.2e-03
 175000      1.97e-03      1.97e-03    4.1e-03
 176000      6.02e-03      6.02e-03    4.1e-03
 177000      3.23e-03      3.23e-03    4.1e-03
 178000      2.46e-03      2.46e-03    4.1e-03
 179000      1.13e-02      1.13e-02    4.1e-03
 180000      2.47e-03      2.47e-03    4.0e-03
 181000      2.19e-03      2.19e-03    4.0e-03
 182000      1.92e-03      1.92e-03    4.0e-03
 183000      9.66e-03      9.66e-03    4.0e-03
 184000      1.38e-02      1.38e-02    4.0e-03
 185000      1.55e-03      1.55e-03    3.9e-03
 186000      1.78e-03      1.78e-03    3.9e-03
 187000      1.72e-02      1.72e-02    3.9e-03
 188000      2.25e-03      2.25e-03    3.9e-03
 189000      2.03e-03      2.03e-03    3.9e-03
 190000      1.64e-03      1.64e-03    3.8e-03
 191000      1.15e-02      1.15e-02    3.8e-03
 192000      7.11e-03      7.11e-03    3.8e-03
 193000      1.39e-03      1.39e-03    3.8e-03
 194000      2.21e-03      2.21e-03    3.8e-03
 195000      1.99e-03      1.99e-03    3.7e-03
 196000      2.03e-03      2.03e-03    3.7e-03
 197000      1.04e-02      1.04e-02    3.7e-03
 198000      1.39e-02      1.39e-02    3.7e-03
 199000      6.47e-03      6.47e-03    3.7e-03
 200000      1.72e-03      1.72e-03    3.6e-03
 201000      4.61e-03      4.61e-03    3.6e-03
 202000      1.70e-02      1.70e-02    3.6e-03
